Aceleracion_Zx10;Aceleración_Z
1092235;1,092235
1071405;1,071405
1087207;1,087207
1070448;1,070448
1048421;1,048421
1073799;1,073799
1053449;1,053449
1080982;1,080982
1062307;1,062307
1016817;1,016817
1002692;1,002692
9861717;9,861717
1002452;1,002452
95385;0,095385
7740454;7,740454
4448427;4,448427
1078109;1,078109
8173804;8,173804
1072124;1,072124
9160215;9,160215
9746795;9,746795
964145;0,964145
95385;0,095385
9502586;9,502586
941879;0,941879
9332599;9,332599
9296685;9,296685
9246407;9,246407
9349358;9,349358
9258378;9,258378
9406818;9,406818
9457097;9,457097
8707711;8,707711
9059659;9,059659
9334992;9,334992
1091038;1,091038
1194707;1,194707
1547133;1,547133
5267244;5,267244
8025364;8,025364
9679757;9,679757
9157822;9,157822
1049618;1,049618
196127;0,196127
9742006;9,742006
118082;0,118082
1295742;1,295742
1217691;1,217691
1452802;1,452802
1195664;1,195664
1080503;1,080503
1090559;1,090559
1042436;1,042436
1066617;1,066617
1069969;1,069969
1100136;1,100136
1077391;1,077391
106518;0,106518
1103248;1,103248
1478659;1,478659
7491457;7,491457
7939173;7,939173
1311304;1,311304
8995016;8,995016
100341;0,100341
1006044;1,006044
8212111;8,212111
9181764;9,181764
1222719;1,222719
9421184;9,421184
9239224;9,239224
1046984;1,046984
9500193;9,500193
9526528;9,526528
9552865;9,552865
95385;0,095385
9346964;9,346964
9188946;9,188946
9272743;9,272743
9260772;9,260772
9339781;9,339781
932781;0,932781
9471462;9,471462
9200917;9,200917
9351752;9,351752
1018015;1,018015
1072124;1,072124
1049139;1,049139
1076912;1,076912
103214;0,103214
1823185;1,823185
932781;0,932781
1015381;1,015381
1056082;1,056082
9342175;9,342175
9284714;9,284714
1038365;1,038365
9583989;9,583989
8073248;8,073248
8034941;8,034941
103214;0,103214
1187045;1,187045
1035253;1,035253
9234436;9,234436
9449914;9,449914
9394848;9,394848
9488221;9,488221
9212888;9,212888
9349358;9,349358
9050082;9,050082
9246407;9,246407
9131485;9,131485
9275137;9,275137
9232041;9,232041
9054871;9,054871
8729259;8,729259
9720459;9,720459
1233493;1,233493
1046266;1,046266
-6392519;-6,392519
131729;0,131729
8930372;8,930372
9318233;9,318233
9780313;9,780313
1042436;1,042436
9473856;9,473856
1118811;1,118811
1177708;1,177708
1278264;1,278264
1306516;1,306516
3083732;3,083732
1171962;1,171962
1083855;1,083855
1072363;1,072363
1039802;1,039802
1064223;1,064223
1080743;1,080743
1073081;1,073081
1056801;1,056801
1026634;1,026634
1703235;1,703235
1055843;1,055843
87125;0,087125
1145625;1,145625
8913613;8,913613
9255983;9,255983
9756371;9,756371
940203;0,940203
9076419;9,076419
9437943;9,437943
1067814;1,067814
113964;0,113964
8161834;8,161834
1013466;1,013466
9531317;9,531317
9325416;9,325416
9325416;9,325416
9129091;9,129091
9229648;9,229648
9176975;9,176975
9291897;9,291897
9129091;9,129091
9016563;9,016563
8973468;8,973468
9473856;9,473856
8528147;8,528147
1196862;1,196862
-9734824;-9,734824
130077;0,130077
9224859;9,224859
9112331;9,112331
1030465;1,030465
9449914;9,449914
111498;0,111498
1173159;1,173159
1261984;1,261984
1207157;1,207157
1420959;1,420959
9105149;9,105149
1166216;1,166216
11066;0,011066
1078827;1,078827
1078109;1,078109
1100136;1,100136
1079785;1,079785
1087925;1,087925
9299079;9,299079
9272743;9,272743
9220071;9,220071
9102755;9,102755
9074024;9,074024
911712;0,911712
8925584;8,925584
863828;0,863828
9775525;9,775525
9457097;9,457097
7149086;7,149086
-2691083;-2,691083
1173638;1,173638
8319851;8,319851
9095572;9,095572
1049857;1,049857
109822;0,109822
1178426;1,178426
1245224;1,245224
1259111;1,259111
1219128;1,219128
1191594;1,191594
6531382;6,531382
1130782;1,130782
1061828;1,061828
1092235;1,092235
1064462;1,064462
1096066;1,096066
1082419;1,082419
1065899;1,065899
1058716;1,058716
9902418;9,902418
8135497;8,135497
9883265;9,883265
9725247;9,725247
1006044;1,006044
8901642;8,901642
1011071;1,011071
9849746;9,849746
8348581;8,348581
931105;0,931105
1117374;1,117374
1068772;1,068772
9054871;9,054871
9689334;9,689334
9768343;9,768343
9572019;9,572019
9674969;9,674969
9564836;9,564836
941879;0,941879
9315839;9,315839
9248801;9,248801
9131485;9,131485
9095572;9,095572
9198523;9,198523
9215282;9,215282
9054871;9,054871
95385;0,095385
9459491;9,459491
