timestamp_s,Aceleracion_Z, Comentario
197,9.495404,
198,9.49301,
199,9.459491,
100,10.9008,
101,10.94869,
102,10.91517,
103,10.92235,
104,9.593566,
105,11.20965,
106,9.502586,
107,10.1562,
108,9.983821,
109,10.24718,
110,8.267179,
111,5.822699,
112,10.76433,
113,9.188946,
114,11.09712,
115,9.19134,
116,9.756371,
117,9.598354,
118,9.689334,
119,9.440337,
120,9.560047,
121,9.356541,
122,9.380483,
123,9.411607,
124,9.476251,
125,9.481039,
126,9.461885,
127,9.43076,
128,9.452309,
129,9.572019,
130,9.425972,
131,9.217676,
132,9.76116,
133,10.88883,
134,10.88165,
135,9.308656,
136,6.631939,
137,7.359776,
138,9.619903,
139,10.03889,
140,9.804255,
141,9.981427,
142,10.68772,
143,11.41795,
144,19.6127,
145,12.37802,
146,12.51928,
147,10.79306,
148,11.31979,
149,11.05642,
150,11.00854,
151,10.87686,
152,10.97263,
153,10.80024,
154,11.1091,
155,10.60392,
156,7.867347,
157,9.13388,
158,9.416395,
159,10.23282,
160,9.919178,
161,10.10114,
162,9.387665,
163,7.819463,
164,11.38443,
165,8.602366,
166,8.882488,
167,10.62786,
168,9.598354,
169,9.85214,
170,9.765948,
171,9.588778,
172,9.488221,
173,9.500193,
174,9.440337,
175,9.581595,
176,9.64145,
177,9.478644,
178,9.526528,
179,9.533711,
180,9.406818,
181,9.504981,
182,9.763555,
183,9.78989,
184,9.476251,
185,9.41879,
186,10.04368,
187,9.708488,
188,12.23437,
189,-0.6775591,
190,11.70765,
191,8.999804,
192,9.25359,
193,9.054871,
194,9.279925,
195,9.425972,
196,9.809045,
197,10.76194,
198,15.06671,
199,11.58315,
100,9.495404,
101,9.473856,
102,9.473856,
103,9.344569,
104,9.385271,
105,9.368511,
106,9.473856,
107,9.536105,
108,9.569624,
109,8.848969,
110,9.478644,
111,9.361329,
112,11.05403,
113,9.708488,
114,6.275203,
115,10.60392,
116,7.920019,
117,9.440337,
118,8.269572,
119,8.870518,
120,9.933543,
121,10.41478,
122,9.986216,
123,12.21522,
124,12.55041,
125,12.34211,
126,11.91594,
127,9.263166,
128,10.66138,
129,10.63983,
130,11.00375,
131,11.00136,
132,11.0253,
133,10.73321,
134,5.872977,
135,9.069236,
136,11.20486,
137,10.29028,
138,9.679757,
139,9.528923,
140,10.45548,
141,9.595961,
142,7.90326,
143,12.59829,
144,9.97185,
145,9.433155,
146,10.74278,
147,9.399636,
148,9.708488,
149,9.435549,
150,9.591172,
151,9.380483,
152,9.519346,
153,9.411607,
154,9.404425,
155,9.392453,
156,9.342175,
157,9.394848,
158,9.409213,
159,9.3733,
160,9.478644,
161,9.854534,
162,9.512163,
163,9.320627,
164,11.38922,
165,11.40598,
166,-0.260968,
167,7.544129,
168,9.289502,
169,9.112331,
170,10.13945,
171,10.3238,
172,9.287108,
173,12.25352,
174,13.16332,
175,12.77067,
176,12.96221,
177,12.20803,
178,11.53287,
179,10.62547,
180,10.78827,
181,10.67335,
182,10.82898,
183,10.88404,
184,10.75236,
185,10.817,
186,17.2598,
187,9.689334,
188,10.0772,
189,10.07001,
190,9.955091,
191,9.49301,
192,9.780313,
193,8.932767,
194,8.137892,
195,10.47463,
196,8.140285,
197,10.22564,
198,9.349358,
199,9.574412,
100,13.85285,
101,3.201048,
102,7.21373,
